iter	Logloss
0	0.6883864414
1	0.6826229445
2	0.6781110334
3	0.6733199555
4	0.6685522684
5	0.6627793896
6	0.6581689304
7	0.6532710997
8	0.648087942
9	0.6441685236
10	0.6395547249
11	0.6369252909
12	0.6324696852
13	0.6276665233
14	0.6237255013
15	0.6180087716
16	0.6141817757
17	0.6093602131
18	0.604575242
19	0.6005036248
20	0.59641013
21	0.5934127183
22	0.5898628398
23	0.5858191611
24	0.5831180478
25	0.579119161
26	0.5753031753
27	0.5706071235
28	0.5682509435
29	0.5638433025
30	0.5602118797
31	0.5576883401
32	0.552893723
33	0.5501034102
34	0.5472878321
35	0.5444454684
36	0.540990704
37	0.5369132872
38	0.5335778481
39	0.5297950655
40	0.5259052919
41	0.5238714074
42	0.5204551336
43	0.5185046381
44	0.5160352302
45	0.5132925814
46	0.5107635906
47	0.5073590213
48	0.5036793837
49	0.5002176851
50	0.4971151765
51	0.4948655812
52	0.4925180821
53	0.4905830879
54	0.487291633
55	0.4847183428
56	0.4827546979
57	0.4795726673
58	0.4778846688
59	0.4754576138
60	0.4726539508
61	0.4701892824
62	0.4673515979
63	0.4645035612
64	0.4624474192
65	0.4607099995
66	0.4577495832
67	0.4555248733
68	0.4533200282
69	0.4505373734
70	0.448797144
71	0.4459844529
72	0.4446878853
73	0.442718647
74	0.4399310942
75	0.4388233943
76	0.4367111619
77	0.4351928776
78	0.4322225064
79	0.4301088342
80	0.4279901418
81	0.425232403
82	0.4230992048
83	0.4215913083
84	0.4198191459
85	0.4184487315
86	0.4166737876
87	0.4150005838
88	0.4128046444
89	0.4107735045
90	0.4088221136
91	0.4071634368
92	0.4042216887
93	0.4018061489
94	0.4003182317
95	0.3984445089
96	0.3966723071
97	0.3944631571
98	0.3929121838
99	0.3910246124
100	0.3897550721
101	0.3873348905
102	0.3860521404
103	0.3843791735
104	0.3829828344
105	0.3813762969
106	0.3794656453
107	0.3777970195
108	0.3760205573
109	0.3750474047
110	0.3729258073
111	0.3711851593
112	0.3689286572
113	0.3663018135
114	0.3647482203
115	0.3636856598
116	0.3623604806
117	0.3606065727
118	0.3595939185
119	0.3586599777
120	0.3572338458
121	0.3558280515
122	0.3542657155
123	0.3529178869
124	0.3515306166
125	0.3505047725
126	0.3489931358
127	0.3477770017
128	0.3465918865
129	0.3456956793
130	0.3442513761
131	0.3426978418
132	0.3415466318
133	0.3405308157
134	0.3397678746
135	0.3390184945
136	0.3376822121
137	0.3367082793
138	0.3354377162
139	0.3343820317
140	0.3333222843
141	0.3316236895
142	0.3299603048
143	0.3286153587
144	0.327137123
145	0.3262533918
146	0.3246257056
147	0.3236061121
148	0.322854782
149	0.3214596188
150	0.3199260469
151	0.318887954
152	0.3180867219
153	0.3170016898
154	0.3159599511
155	0.3151757349
156	0.3137192785
157	0.3125024821
158	0.3116532951
159	0.3104253598
160	0.3091535633
161	0.307867958
162	0.3070273466
163	0.3063521634
164	0.3047565479
165	0.3038037771
166	0.3031013705
167	0.3019507969
168	0.3012610797
169	0.3005549282
170	0.2995083633
171	0.2984989768
172	0.2969816099
173	0.2960483949
174	0.294996501
175	0.2939464496
176	0.2926222634
177	0.2917642242
178	0.2903830743
179	0.2896103373
180	0.2891376959
181	0.288616936
182	0.2877610889
183	0.2870795439
184	0.2859497861
185	0.2849322
186	0.2841159543
187	0.2835119686
188	0.2827453369
189	0.2823138737
190	0.2813907515
191	0.2804031789
192	0.2794479846
193	0.2787011502
194	0.2780873413
195	0.2766679866
196	0.2758844902
197	0.2751130926
198	0.2741850228
199	0.2730214678
200	0.2724614014
201	0.2717457037
202	0.2710583475
203	0.2701015275
204	0.2692882624
205	0.2688022878
206	0.2681928358
207	0.2671013831
208	0.2665776695
209	0.2657615002
210	0.2649316453
211	0.2641003956
212	0.2633131661
213	0.2627926781
214	0.2623011454
215	0.2618232444
216	0.2614426734
217	0.2601554626
218	0.2593364909
219	0.2587780419
220	0.257963375
221	0.2574296165
222	0.2568376642
223	0.2558143441
224	0.254636985
225	0.2541244414
226	0.2533248305
227	0.2527059234
228	0.2522488339
229	0.2513196841
230	0.2506130738
231	0.2499553691
232	0.2492039708
233	0.2488600394
234	0.2483084724
235	0.2473494823
236	0.246786832
237	0.2462248872
238	0.2456518859
239	0.2451898303
240	0.2445442306
241	0.2442877733
242	0.2436382526
243	0.2429755649
244	0.2425641892
245	0.2416739674
246	0.2407960488
247	0.2403175809
248	0.2396725595
249	0.2391479431
250	0.2386857506
251	0.2382377649
252	0.2375177438
253	0.2370038184
254	0.2366166382
255	0.2358749739
256	0.2352903609
257	0.234248562
258	0.2338987448
259	0.2334630124
260	0.2326784887
261	0.2319478767
262	0.2315947367
263	0.2312165326
264	0.2307654836
265	0.2304210289
266	0.2297638532
267	0.2291659386
268	0.2284021226
269	0.2276599488
270	0.2269086876
271	0.2259901164
272	0.2256624678
273	0.2253706453
274	0.224422706
275	0.223917911
276	0.2234121037
277	0.2228452026
278	0.2221900925
279	0.2216121392
280	0.2209457824
281	0.2202964436
282	0.2196689275
283	0.219198111
284	0.2186098378
285	0.2181193418
286	0.2177202961
287	0.2173411655
288	0.2165098712
289	0.2159481881
290	0.215525414
291	0.2145674387
292	0.2136385272
293	0.2128243721
294	0.2124150524
295	0.2119925053
296	0.2113693765
297	0.2109754449
298	0.2104945601
299	0.2101085906
300	0.2093821046
301	0.2090651015
302	0.2088254071
303	0.2082811171
304	0.2078207837
305	0.2072712816
306	0.2070348522
307	0.206520424
308	0.2062142016
309	0.2057220399
310	0.2053389585
311	0.2048345085
312	0.2042127696
313	0.2035736673
314	0.2030681853
315	0.2027289028
316	0.2021844053
317	0.2018128243
318	0.2015070579
319	0.2011987363
320	0.2007738087
321	0.2002455613
322	0.1997722759
323	0.1993971154
324	0.1988585642
325	0.1985092455
326	0.1979201677
327	0.1970033518
328	0.1966533775
329	0.1962107758
330	0.1958702354
331	0.1950408998
332	0.1944278335
333	0.1941010713
334	0.1937628782
335	0.1935689376
336	0.1931039508
337	0.1927234141
338	0.1923338889
339	0.1919186559
340	0.1916661597
341	0.191338534
342	0.1908617593
343	0.1906245171
344	0.1900643576
345	0.1895896931
346	0.188965479
347	0.1886448311
348	0.1880428097
349	0.1876635879
350	0.1872481592
351	0.1870196077
352	0.1866343519
353	0.186162122
354	0.1859106228
355	0.1856355879
356	0.1855054524
357	0.1850308238
358	0.1847127447
359	0.1842478943
360	0.1836641815
361	0.1833616998
362	0.183087896
363	0.1827289688
364	0.1824071348
365	0.1821139988
366	0.1817172084
367	0.1813773718
368	0.1810050244
369	0.18057775
370	0.1802927447
371	0.1798890123
372	0.179730892
373	0.1794138946
374	0.1787986885
375	0.1786403265
376	0.178313756
377	0.178020646
378	0.1777418327
379	0.1771976677
380	0.1769079783
381	0.1765813219
382	0.1763138244
383	0.1760727979
384	0.1757493536
385	0.175240766
386	0.1748472718
387	0.1742468581
388	0.1740664907
389	0.1734480805
390	0.1732899375
391	0.1728404772
392	0.1725804306
393	0.1721102178
394	0.1718543754
395	0.1714938243
396	0.1710902132
397	0.1704923909
398	0.1700377966
399	0.1697166732
400	0.1691830105
401	0.1688374915
402	0.1686300258
403	0.1683194648
404	0.1679326734
405	0.1675966217
406	0.1673680411
407	0.1671334011
408	0.1665273903
409	0.1661123061
410	0.1658748202
411	0.1652556731
412	0.1649551748
413	0.164577243
414	0.1643154599
415	0.1641457649
416	0.1639565165
417	0.1636035986
418	0.1631114234
419	0.1627825543
420	0.1625904904
421	0.1620025943
422	0.1615772362
423	0.161118725
424	0.1609274079
425	0.1606769572
426	0.1601848375
427	0.1598135743
428	0.1595971482
429	0.1592704269
430	0.159039128
431	0.158800785
432	0.1584480061
433	0.1581660768
434	0.1579132213
435	0.157505001
436	0.1572964425
437	0.1570173244
438	0.1568118769
439	0.1565879142
440	0.1562477147
441	0.1559938363
442	0.1556515946
443	0.1553141046
444	0.1550769183
445	0.1549254487
446	0.1546857299
447	0.1544220511
448	0.1540929067
449	0.1539190244
450	0.1536753553
451	0.1533642194
452	0.1531412564
453	0.1527683087
454	0.152596201
455	0.1523826479
456	0.1519694206
457	0.1517047643
458	0.1515344772
459	0.1513834943
460	0.1511724729
461	0.1510073738
462	0.1508093762
463	0.1503508957
464	0.1499692768
465	0.1498208068
466	0.149414166
467	0.1489972981
468	0.1487204942
469	0.1484278408
470	0.148148258
471	0.1479457915
472	0.1477020193
473	0.1473982092
474	0.1470988076
475	0.1469219838
476	0.1467545459
477	0.1465144343
478	0.1462513879
479	0.1457938222
480	0.1454470671
481	0.1449774826
482	0.1447772852
483	0.1446323811
484	0.1443726885
485	0.1441965374
486	0.1436645458
487	0.1433057224
488	0.1431666323
489	0.1428566932
490	0.1426100779
491	0.1423534644
492	0.141915572
493	0.1417031457
494	0.1415958662
495	0.1413542795
496	0.1409476018
497	0.1407513873
498	0.1405365221
499	0.1402750564
500	0.1401339698
501	0.1397289166
502	0.1394248921
503	0.1391185285
504	0.1389774821
505	0.1385168581
506	0.1381727749
507	0.1379933758
508	0.1375868991
509	0.1373497509
510	0.1372637691
511	0.1369487619
512	0.1367034215
513	0.1365181117
514	0.136332334
515	0.1359203256
516	0.1357096669
517	0.1354554349
518	0.1352685119
519	0.1350176297
520	0.134806532
521	0.1345756825
522	0.1343900717
523	0.1341997438
524	0.1340566913
525	0.1338375471
526	0.1335646965
527	0.1333670611
528	0.1331299236
529	0.1328732768
530	0.1327394967
531	0.1326182617
532	0.1323109594
533	0.1321002332
534	0.1318769477
535	0.131635171
536	0.1313386971
537	0.1309708006
538	0.1306352673
539	0.130448999
540	0.130283513
541	0.1298823149
542	0.129660503
543	0.1293187888
544	0.1291676618
545	0.128949787
546	0.1286878942
547	0.1285427694
548	0.1282839598
549	0.1280224866
550	0.1278755835
551	0.1277208477
552	0.1274639354
553	0.1272550644
554	0.1271633171
555	0.1269298401
556	0.1266680047
557	0.1263438057
558	0.1260328264
559	0.1257962219
560	0.1256386379
561	0.1253491841
562	0.125196408
563	0.1249657492
