iter	Passed	Remaining
0	168	168542
1	186	93019
2	202	67226
3	217	54169
4	229	45766
5	241	40004
6	253	35911
7	263	32712
8	274	30274
9	286	28361
10	298	26825
11	309	25514
12	319	24254
13	330	23284
14	341	22441
15	353	21714
16	364	21096
17	376	20539
18	385	19894
19	394	19331
20	403	18803
21	412	18345
22	422	17935
23	433	17631
24	445	17369
25	456	17096
26	467	16850
27	479	16635
28	490	16414
29	501	16227
30	513	16046
31	525	15882
32	536	15714
33	547	15557
34	559	15415
35	570	15268
36	581	15134
37	590	14948
38	598	14750
39	607	14590
40	617	14440
41	628	14336
42	639	14235
43	650	14137
44	662	14050
45	673	13962
46	683	13853
47	694	13768
48	705	13686
49	715	13601
50	726	13524
51	736	13435
52	748	13376
53	760	13316
54	771	13249
55	782	13195
56	792	13117
57	801	13025
58	811	12945
59	820	12849
60	830	12781
61	838	12691
62	847	12611
63	858	12548
64	868	12496
65	881	12478
66	893	12441
67	905	12414
68	917	12380
69	930	12360
70	942	12329
71	955	12315
72	966	12272
73	979	12251
74	991	12222
75	999	12153
76	1008	12091
77	1018	12035
78	1027	11980
79	1039	11950
80	1051	11926
81	1064	11916
82	1076	11895
83	1089	11877
84	1102	11865
85	1114	11847
86	1127	11833
87	1140	11823
88	1153	11805
89	1165	11788
90	1176	11755
91	1189	11738
92	1198	11693
93	1207	11637
94	1215	11580
95	1225	11539
96	1235	11498
97	1242	11436
98	1252	11402
99	1264	11380
100	1272	11330
101	1284	11308
102	1293	11264
103	1300	11205
104	1309	11164
105	1320	11135
106	1329	11096
107	1339	11067
108	1349	11034
109	1362	11027
110	1409	11292
111	1420	11261
112	1427	11207
113	1442	11212
114	1449	11157
115	1459	11118
116	1470	11098
117	1481	11076
118	1493	11057
119	1504	11036
120	1516	11014
121	1527	10995
122	1539	10975
123	1550	10954
124	1562	10936
125	1573	10917
126	1584	10894
127	1596	10874
128	1607	10854
129	1618	10832
130	1626	10789
131	1635	10753
132	1646	10731
133	1656	10702
134	1665	10668
135	1674	10637
136	1683	10606
137	1695	10590
138	1705	10563
139	1715	10539
140	1724	10506
141	1732	10467
142	1742	10442
143	1751	10411
144	1762	10395
145	1772	10365
146	1781	10338
147	1791	10315
148	1800	10281
149	1810	10257
150	1817	10217
151	1825	10186
152	1833	10152
153	1841	10115
154	1850	10089
155	1860	10063
156	1867	10026
157	1876	9998
158	1885	9975
159	1893	9940
160	1902	9914
161	1912	9892
162	1921	9864
163	1931	9846
164	1941	9824
165	1951	9803
